patient_alias,patient_id,volume_id,local_z,png_path,ct_shape_z,image_h,image_w,lung_area_px,lung_area_ratio,lung_bbox_y0,lung_bbox_x0,lung_bbox_y1,lung_bbox_x1,lung_center_y,lung_center_x,lung_z_min,lung_z_max,lung_z_pct,valid_lung_slice,slice_quality,image_lung_side_available,source_ct_path_hash_or_basename,source_roi_path_hash_or_basename,stage2_holdout_flag,notes
normal_patient_1,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,0,normal_patient_1/slices_png/z_000.png,253,512,512,369,0.001408,85,36,144,470,115.6,70.93,0,250,0.0,True,low,both,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,False,
normal_patient_1,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,1,normal_patient_1/slices_png/z_001.png,253,512,512,1512,0.005768,79,24,363,476,155.06,169.79,0,250,0.004,True,low,both,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,False,
normal_patient_1,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,2,normal_patient_1/slices_png/z_002.png,253,512,512,1512,0.005768,79,24,363,476,155.06,169.79,0,250,0.008,True,low,both,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,False,
normal_patient_1,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,3,normal_patient_1/slices_png/z_003.png,253,512,512,2361,0.009007,73,21,373,479,172.19,174.21,0,250,0.012,True,low,both,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,False,
normal_patient_1,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,4,normal_patient_1/slices_png/z_004.png,253,512,512,2361,0.009007,73,21,373,479,172.19,174.21,0,250,0.016,True,low,both,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,False,
normal_patient_1,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,5,normal_patient_1/slices_png/z_005.png,253,512,512,3214,0.01226,67,21,376,479,182.72,175.37,0,250,0.02,True,low,both,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,False,
normal_patient_1,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,6,normal_patient_1/slices_png/z_006.png,253,512,512,4292,0.016373,61,21,382,485,192.58,193.08,0,250,0.024,True,low,both,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,False,
normal_patient_1,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,7,normal_patient_1/slices_png/z_007.png,253,512,512,4292,0.016373,61,21,382,485,192.58,193.08,0,250,0.028,True,low,both,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,False,
normal_patient_1,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,8,normal_patient_1/slices_png/z_008.png,253,512,512,5809,0.02216,58,21,385,485,206.81,196.69,0,250,0.032,True,ok,both,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,False,
normal_patient_1,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,9,normal_patient_1/slices_png/z_009.png,253,512,512,5809,0.02216,58,21,385,485,206.81,196.69,0,250,0.036,True,ok,both,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,subset1_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866__179f88da02,False,
